Name,Frequency
CFO_GND,124.700
BWI_TWR,119.400
BWI_G_APP,124.550
BVI_GND,121.800
CHA_DEL,120.950
CAE_S_APP,124.150
CAK_E_APP,125.500
BVI_TWR,120.300
CARI_S_FSS,131.300
CARE_FSS,131.500
BUF_TWR,120.500
BUF_E_APP,126.150
BZN_GND,121.800
CBM_E_APP,132.025
BWI_W_APP,128.700
BTV_GND-,126.300
CBM_APP,132.020
BTR_W_APP,120.300
CG_DEL,128.750
BTV_APP-,121.100
BWI_W_TWR,119.400
BWI_DEL,118.050
BWI_N_APP,119.000
BUR_GND,123.900
CGF_GND,121.850
BUF_R_APP,121.000
BZN_APP,118.975
BZN_TWR,118.200
CEA_DEL,125.000
CBM_W_APP,135.600
CARW_B_FSS,131.750
BWI_E_TWR,119.400
CAE_N_APP,133.400
CCR_TWR,119.700
CAK_DEL,132.050
CGI_TWR,125.525
CB_TWR,118.700
BWI_P_APP,133.750
CB_GND,121.700
CARI_I_FSS,131.300
BTV_F_APP-,120.350
CBM_A_APP,126.070
CEF_TWR-,134.850
BWI_E_GND,120.200
CARI_FSS,131.300
CAE_TWR,119.500
BVY_TWR-,125.200
CBM_TWR,126.650
CB_APP,124.500
BUF_GND,133.200
CHA_E_APP,125.100
CGI_GND,121.600
CB-W_APP,125.900
BUR_W_APP,134.200
CAE_DEL,119.750
CDW_TWR,119.800
BTV_W_APP-,124.550
CDW_GND,121.900
BUF_F_APP,123.800
CGF_TWR,118.500
BWI_B_APP,125.520
BUF_W_APP,126.500
BWI_H_APP,133.850
CDW_DEL,121.100
CID_S_APP,119.700
CID_TWR,118.700
CHI_U_APP,127.875
CID_GND,121.600
CHI_74_CTR,133.350
CHO_APP,120.525
CHI_60_CTR,126.875
CHI_64_CTR,133.300
CHD_TWR,126.100
CHI_P_APP,119.350
CHI_50_CTR,123.750
CHI_43_CTR,119.950
CHS_W_APP,120.700
CHI_58_CTR,119.225
CHI_W_APP,133.625
CIN_APP,121.000
CHO_E_APP,120.525
CHI_23_CTR,125.975
CHI_SW_CTR,135.150
CHI_57_CTR,135.750
CHI_35_CTR,134.875
CHS_TWR,126.000
CHR-S_APP,127.350
